"Bro,don't take their pics,you may share the pics of the foodstuffs 

Don't humiliate them",Neutral
Tokyo Olympics might yet be cancelled due to COVID-19 – Japanese official,Neutral
Gujarat HC while hearing the suo motu petition on COVID-19 situation in the state hints at data fudging. Chief Ju…,Neutral
"Hong Kong expanded eligibility for Covid-19 vaccines to all residents aged 16 and older, local media reported",Neutral
"The biggest sin is not letting the people of the state know the truth, not giving them dignity in death or priority in tre…",Neutral
Gujarat HC while hearing the suo motu petition on COVID-19 situation in the state hints at data fudging. Chief Justice Vik…,Neutral
"Please pray for Delhi, suffering from Covid-19 and Covid-420 simultaneously.",Neutral
"Interacted with Governors of the states to discuss the COVID-19 situation, vaccination and ways to spread awareness on fi…",Neutral
"Sir I am a resident of jharkhand. I live in Latehar District.I am giving board exam this year. Sir,…",Positive
Gujarat HC while hearing the suo motu petition on COVID-19 situation in the state hints at data fudging. Chief Justice V…,Neutral
"Multiple vaccinated family members of mine have contracted COVID in Detroit, Michigan. The U.K. COVID-19 variant, B.1.1.…",Neutral
if you feel that Muhyiddin and PN government is responsible for the neverending wave of COVID-19,Positive
COVID-19 has reshaped our world. It is true that we do not know when this crisis will end but we all can make the world he…,Positive
Gujarat HC while hearing the suo motu petition on COVID-19 situation in the state hints at data fudging. Chief Justice Vik…,Neutral
"cancel board exam 2021
Cancel board exams 2021 because of covid-19 is again in full speed",Positive
"TREASURE’s SoJungHwan And ParkJeongWoo Test Negative For COVID-19",Negative
Artificial Intelligence Voice Market Insights Report 2021 with COVID-19 Pandemic Analysis &amp; Future Growth Analysis…,Negative
if you feel that Muhyiddin and PN government is responsible for the neverending wave of COVID-19,Positive
if you feel that Muhyiddin and PN government is responsible for the neverending wave of COVID-19,Positive
"COVID-19 new strain affecting hearing ability, causing sore eyes",Positive
FIND BELOW THE OFFICIAL MACHAKOS COUNTY COVID-19 VACCINATION CENTERS.,Neutral
"The biggest sin is not letting the people of the state know the truth, not giving them dignity in death or priority in tre…",Neutral
"PRESIDENT OF GUINEA-BISSAU BEATING UP A MINISTER WHO SQUANDERED COVID-19 FUNDS
.......📍

Carpe diem | Omojuwa | Elon |…",Neutral
OPPOUNITY USAID/Nigeria COVID-19 Food Security Challenge Request for Applications 2021 | Nigeria Request for Applicati…,Neutral
"Johnson claims vaccination success was 'because of greed.’

97% of the funding for the development of the Oxford/AstraZeneca C…",Positive
if you feel that Muhyiddin and PN government is responsible for the neverending wave of COVID-19,Positive
"Worth reading...Modi has got masters degree in 'Entire manipulation'",Positive
"The CDC and FDA recommend a pause for Johnson &amp; Johnson's Covid-19 vaccine over \"six reported US cases of a rare and severe type o…",Positive
"The \"died with\" comment here is factually wrong. The CDC has actually investigated this, and &gt;90% of official COVID-19 deaths ha…",Negative
Every student life matters. Authorities must not conduct the exams amid pandemic. This decision will only increase the c…,Neutral
📦 | Taylor Swift has sent flight nurse Britta Thomason a box of merch and a handwritten note to thank her for her frontline s…,Neutral
